,Equipe,Pts,J,V,N,D,BP,BC,Diff
1,Paris Saint-Germain,93,37,29,6,2,99,18,81
2,Lyon,65,38,19,8,11,66,41,25
3,AS Monaco,64,38,17,13,8,54,49,5
4,OGC Nice,63,38,18,9,11,55,39,16
5,Lille,60,38,15,15,8,38,27,11
6,Saint-Étienne,56,37,16,8,13,39,35,4
7,Caen,56,38,17,5,16,38,50,-12
8,Marseille,53,38,12,17,9,48,39,9
9,Angers,51,38,13,12,13,40,37,3
10,Rennes,50,38,12,14,12,49,53,-4
11,Montpellier,49,38,14,7,17,46,47,-1
12,Guingamp,47,38,12,11,15,46,52,-6
13,Nantes,47,38,12,11,15,30,42,-12
14,Bordeaux,46,37,11,13,13,45,52,-7
15,Bastia,46,37,12,10,15,32,39,-7
16,Lorient,45,38,11,12,15,46,58,-12
17,Toulouse,39,38,9,12,17,43,54,-11
18,Stade de Reims,38,38,9,11,18,43,55,-12
19,Gazélec Ajaccio,36,37,8,12,17,34,53,-19
20,Troyes,19,37,3,10,24,25,76,-51
