Joueurs,Equipe,Poste,Joueur Id,Match id,Titulaire,Temps de jeu,Passes,Passes réussies,Passes réussies (%),Passes pied droit,Passes réussies pied droit,Passes pied gauche,Passes réussies pied gauche,Passes tête,Passes réussies tête,Passes décisives,Passes courtes,Passes longues,Passes courtes réussies,Passes longues réussies,Passes courtes pied droit,Passes courtes pied gauche,Passes longues pied droit,Passes longues pied gauche,Passes courtes réussies pied droit,Passes courtes réussies pied gauche,Passes longues réussies pied droit,Passes longues réussies pied gauche,Passe courte pied droit pourcentage,Passe courte pied gauche pourcentage,Passe longue pied droit pourcentage,Passe longue pied gauche pourcentage,Passe clé,Cartons jaunes,Cartons rouges,Penalty provoqués,Centres,Centres réussis,Centres pourcentage,Tirs,Tirs pied droit,Tirs pied gauche,Tirs tête,Tirs autre,Tirs cadrés,Tirs cadrés pied droit,Tirs cadrés pied gauche,Tirs cadrés tête,Tirs cadrés autre,Buts,Buts pied droit,Buts pied gauche,Buts tête,Buts autre,xG,Dribbles,Dribbles réussis,Dribbles pourcentage,Interceptions,Récupération,Dégagements,Duels,Duels gagnés,Duels pourcentage,Tacles,Tacles réussis,Tacles pourcentage,Duels aériens total,Duels aériens gagnés,Duels aériens perdus,Ballons perdus,Hors-jeu,Fautes provoquées,Fautes commises,Ballons joués,Nombre arrêts,Position gardien,Nombre de tirs subis,Plongeon,Debout,Arrets du pied,Arrets des mains,Arrets poitrine,Arrets tête,Dégagement poings,Buts concedes,Clean sheet,Penalty encaissé,Penlaty arrêté,Sorti,Arrêts zone gauche haute,Arrêts zone gauche basse,Arrêts zone droite haute,Arrêts zone droite basse,Arrêts zone centre haute,Arrêts zone centre basse,Buts zone gauche haute,Buts zone gauche basse,Buts zone droite haute,Buts zone droite basse,Buts zone centre haute,Buts zone centre basse
Marco Verratti,Paris Saint-Germain,Right Center Midfield,3166.0,3829413,1,72,68,61,89.7,58,53,6,6,3,1,0,62,6,57,4,52,6,6,0,49,6,4,0,94.2,100.0,66.7,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.0,6.0,3.0,5.0,3.0,60.0,4.0,3.0,75.0,1.0,0.0,1.0,8.0,0.0,1.0,2.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinson Roberto Cavani Gómez,Paris Saint-Germain,Center Forward,4319.0,3829413,1,95,29,24,82.8,23,19,2,2,2,2,0,28,1,23,1,22,2,1,0,18,2,1,0,81.8,100.0,100.0,0.0,0,0,0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,5.0,2.0,40.0,0.0,3.0,0.0,2.0,1.0,50.0,1.0,1.0,100.0,1.0,0.0,1.0,12.0,0.0,3.0,2.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrien Rabiot,Paris Saint-Germain,Center Defensive Midfield,3026.0,3829413,1,95,27,24,88.9,2,2,24,21,1,1,0,26,1,24,0,2,23,0,1,2,21,0,0,100.0,91.3,0.0,0.0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,66.7,3.0,2.0,66.7,0.0,0.0,0.0,4.0,0.0,1.0,2.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Luiz Moreira Marinho,Paris Saint-Germain,Left Center Back,3956.0,3829413,1,95,42,39,92.9,33,32,8,7,0,0,0,37,5,35,4,29,7,4,1,29,6,3,1,100.0,85.7,75.0,100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,3.0,2.0,1.0,50.0,2.0,1.0,50.0,1.0,1.0,0.0,5.0,0.0,2.0,2.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Emiliano da Silva,Paris Saint-Germain,Right Center Back,3295.0,3829413,1,95,44,41,93.2,32,30,6,6,1,1,0,39,5,38,3,27,6,5,0,27,6,3,0,100.0,100.0,60.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,3.0,0.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise Matuidi,Paris Saint-Germain,Left Center Midfield,4375.0,3829413,1,95,39,35,89.7,2,1,36,33,0,0,1,38,1,34,1,2,35,0,1,1,32,0,1,50.0,91.4,0.0,100.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,4.0,2.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Aurier,Paris Saint-Germain,Right Back,3481.0,3829413,1,95,34,22,64.7,18,11,3,2,3,2,0,33,1,21,1,17,3,1,0,10,2,1,0,58.8,66.7,100.0,0.0,0,1,0,0,5.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,5.0,5.0,5.0,2.0,40.0,4.0,2.0,50.0,3.0,2.0,1.0,14.0,1.0,3.0,2.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Matías Pastore,Paris Saint-Germain,Right Wing,4370.0,3829413,1,45,28,17,60.7,22,14,4,2,2,1,0,27,1,17,0,21,4,1,0,14,2,0,0,66.7,50.0,0.0,0.0,0,0,0,0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,1.0,100.0,0.0,2.0,0.0,3.0,1.0,33.3,2.0,1.0,50.0,1.0,0.0,1.0,12.0,0.0,1.0,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florent Balmont,Lille,Right Defensive Midfield,3211.0,3829413,1,95,69,61,88.4,65,57,3,3,1,1,0,67,2,61,0,63,3,2,0,57,3,0,0,90.5,100.0,0.0,0.0,0,0,0,0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,2.0,66.7,0.0,4.0,0.0,4.0,1.0,25.0,1.0,1.0,100.0,3.0,0.0,3.0,12.0,0.0,3.0,5.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Éric Bauthéac,Lille,Left Midfield,40486.0,3829413,1,95,47,29,61.7,8,7,31,18,3,1,0,46,1,29,0,8,30,0,1,7,18,0,0,87.5,60.0,0.0,0.0,0,0,0,0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,4.0,1.0,25.0,2.0,9.0,1.0,5.0,3.0,60.0,3.0,3.0,100.0,3.0,1.0,2.0,20.0,0.0,1.0,2.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
